name;type;city;district;address;rent_office;rent_retail;rent_warehouse;service_charge;cost_parking_surface;cost_parking_underground;min_space_to_let;min_lease;add_on_factor;building_status;building_class;total_net_space;total_gross_space;completion_date;ground_floors;floor_plate;no_surface_parking;no_underground_parking;parking_ratio;sprinklers;access_control;computer_cabling;switchboard;smoke_detectors;suspended_ceiling;openable_windows;partition_walls;backup_power_supply;telephone_cabling;power_cabling;air_conditioning;raised_floor;carpeting;fibre_optic_connections;BMS;remobile_id;remobile_url;remobile_pic_url.big;lease;Kraków;;ul. Zielińskiego gen. Bohdana 3;13.50 € / m2;;;16.00 zł / m2;;;375 m2;60 months;;under construction;;8 456 m2;;7 2018;5 (ground floor included);2 130 m2;7;148;1 per 62 m2;False;True;True;False;True;True;True;False;False;True;True;True;True;True;False;True;2217;http://www.remobile.pl/en/offices/krakow/big,2217#3a4bc864;http://www.remobile.pl/images/galeria/2217/zrodlowy-1.jpg;
Aeropark III - CORIUS;lease;Warszawa;wlochy;ul. Stycznia 17 45 c;12.50 € / m2;;;4.00 € / m2;50.00 € / place;80.00 € / place;;60 months;6.08 %;existing;;9 284 m2;;I 2012;7 (ground floor included);1 398 m2;40;205;1 per 43 m2;False;True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;357;http://www.remobile.pl/en/offices/warszawa-wlochy/aeropark-iii---corius,357#3a4bc864;http://www.remobile.pl/images/galeria/357/biuro-aeropark_iii_-_corius-1org.jpg;
AIRPORT BUSINESS CENTER;lease;Kraków;;inn Zjazd Rogoziany;12.50 € / m2;;;16.00 zł / m2;30.00 € / place;45.00 € / place;;;10.30 %;construction permit;;4 719 m2;;12 2018;4 (ground floor included);1 354 m2;27;78;1 per 46 m2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;2193;http://www.remobile.pl/en/offices/krakow/airport-business-center,2193#3a4bc864;http://www.remobile.pl/images/galeria/2193/zrodlowy-1.jpg;
Airtech Business Park I;lease;Warszawa;wola;ul. Kolejowa 5 7;40.00 zł / m2;;;15.00 zł / m2;150.00 zł / place;250.00 zł / place;400 m2;;0.00 %;existing;;8 000 m2;;2001;4 (ground floor included);2 100 m2;170;50;1 per 50 m2;False;True;True;False;True;True;True;True;False;True;True;True;False;True;True;False;1340;http://www.remobile.pl/en/offices/warszawa-wola/airtech-business-park-i,1340#3a4bc864;http://www.remobile.pl/images/galeria/1340/zrodlowy-1.jpg;
Airtech Business Park II;lease;Warszawa;wola;ul. Kolejowa 5;40.00 - 44.00 zł / m2;;;16.00 zł / m2;150.00 zł / place;250.00 zł / place;1 300 m2;;5.00 %;existing;;8 900 m2;;12 2011;7 (ground floor included);1 330 m2;50;86;1 per 50 m2;False;True;True;False;True;True;True;True;False;True;True;True;True;True;True;False;1341;http://www.remobile.pl/en/offices/warszawa-wola/airtech-business-park-ii,1341#3a4bc864;http://www.remobile.pl/images/galeria/1341/zrodlowy-1.jpg;
Airtech Business Park III;lease;Warszawa;wola;ul. Kolejowa 5 b;46.00 zł / m2;;;16.00 zł / m2;150.00 zł / place;250.00 zł / place;300 m2;;5.00 %;existing;;6 600 m2;;11 2016;8 (ground floor included);960 m2;;37;1 per 50 m2;False;False;True;True;True;True;True;True;False;True;True;True;False;True;True;False;1926;http://www.remobile.pl/en/offices/warszawa-wola/airtech-business-park-iii,1926#3a4bc864;http://www.remobile.pl/images/galeria/1926/zrodlowy-1.png;
Akwarium;lease;Gdynia;;ul. Czechosłowacka 3;45.00 zł / m2;;;11.00 - 13.00 zł / m2;;;;;;existing;;;;11 2013;9 (ground floor included);;;;;False;False;False;False;False;True;False;False;False;False;False;True;False;True;False;False;1295;http://www.remobile.pl/en/offices/gdynia/akwarium,1295#3a4bc864;http://www.remobile.pl/images/galeria/1295/zrodlowy-1.jpg;
Al.Jerozolimskie 264;lease;Warszawa;ursus;Aleje Jerozolimskie 264;34.80 zł / m2;;;;;;;24 months;;existing;;;;7 2017;2 (ground floor included);;;;;False;True;True;False;False;False;False;False;False;True;True;False;False;False;False;False;2328;http://www.remobile.pl/en/offices/warszawa-ursus/aljerozolimskie-264,2328#3a4bc864;http://www.remobile.pl/images/galeria/2328/zrodlowy-1.jpg;
Alchemia II phase;lease;Gdańsk;;al. Grunwaldzka 363 a;13.50 - 13.75 € / m2;;;16.00 zł / m2;;65.00 zł / place;250 m2;60 months;5.16 %;existing;;;;10 2015;8 (ground floor included);1 200 m2;;407;1 per 54 m2;False;True;True;True;True;True;False;True;False;True;True;True;True;True;True;False;1629;http://www.remobile.pl/en/offices/gdansk/alchemia-ii-phase,1629#3a4bc864;http://www.remobile.pl/images/galeria/1629/zrodlowy-1.jpg;
Alchemia III phase;lease;Gdańsk;;al. Grunwaldzka;;;;;;;;;;existing;;30 000 m2;;III 2017;12 (ground floor included);3 000 m2;;;1 per 100 m2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;1783;http://www.remobile.pl/en/offices/gdansk/alchemia-iii-phase,1783#3a4bc864;http://www.remobile.pl/images/galeria/1783/zrodlowy-1.jpg;
Aleja Pokoju 5;lease;Kraków;;al. Pokoju;14.00 € / m2;;;15.00 zł / m2;100.00 € / place;100.00 € / place;300 m2;60 months;5.00 %;existing;;13 010 m2;;11 2015;9 (ground floor included);1 450 m2;27;166;1 per 67 m2;False;True;True;False;False;True;False;False;False;True;True;True;True;True;True;True;1494;http://www.remobile.pl/en/offices/krakow/aleja-pokoju-5,1494#3a4bc864;http://www.remobile.pl/images/galeria/1494/zrodlowy-1.jpg;
